logPriceRatio,rHold,rTime,policyAction
42.0,2.0,2.0,10
41.0,1.0,2.0,10
41.0,0.0,2.0,10
42.0,1.0,2.0,10
42.0,0.0,2.0,10
41.0,2.0,2.0,10
-24.0,7.0,2.0,10
53.0,10.0,2.0,10
53.0,9.0,2.0,10
30.0,8.0,2.0,10
53.0,8.0,2.0,10
30.0,7.0,2.0,10
53.0,7.0,2.0,10
30.0,6.0,2.0,10
53.0,6.0,2.0,10
30.0,5.0,2.0,10
53.0,5.0,2.0,10
30.0,4.0,2.0,10
53.0,4.0,2.0,10
30.0,3.0,2.0,10
53.0,3.0,2.0,10
53.0,2.0,2.0,10
52.0,1.0,2.0,10
52.0,0.0,2.0,10
53.0,1.0,2.0,10
53.0,0.0,2.0,10
52.0,2.0,2.0,10
64.0,10.0,2.0,10
64.0,9.0,2.0,10
41.0,8.0,2.0,10
64.0,8.0,2.0,10
41.0,7.0,2.0,10
64.0,7.0,2.0,10
41.0,6.0,2.0,10
64.0,6.0,2.0,10
41.0,5.0,2.0,10
64.0,5.0,2.0,10
41.0,4.0,2.0,10
64.0,4.0,2.0,10
41.0,3.0,2.0,10
64.0,3.0,2.0,10
64.0,2.0,2.0,10
64.0,1.0,2.0,10
63.0,0.0,2.0,10
64.0,0.0,2.0,10
63.0,1.0,2.0,10
40.0,0.0,2.0,10
63.0,2.0,2.0,10
-96.0,0.0,0.0,10
-84.0,0.0,0.0,0
-72.0,0.0,0.0,2
-61.0,0.0,0.0,10
-83.0,0.0,0.0,8
-71.0,0.0,0.0,3
-59.0,0.0,0.0,9
-48.0,0.0,0.0,7
-60.0,0.0,0.0,6
-37.0,0.0,0.0,7
-49.0,0.0,0.0,0
-26.0,0.0,0.0,8
-36.0,0.0,0.0,6
-25.0,0.0,0.0,0
-47.0,0.0,0.0,10
-70.0,0.0,0.0,3
-58.0,0.0,0.0,2
-46.0,0.0,0.0,3
-35.0,0.0,0.0,7
-24.0,0.0,0.0,6
-13.0,0.0,0.0,5
-34.0,0.0,0.0,9
-23.0,0.0,0.0,3
-12.0,0.0,0.0,5
-82.0,0.0,0.0,1
-2.0,0.0,0.0,7
-1.0,0.0,0.0,4
9.0,0.0,0.0,1
-14.0,0.0,0.0,8
10.0,0.0,0.0,2
-95.0,0.0,0.0,0
-57.0,0.0,0.0,6
-45.0,0.0,0.0,7
-33.0,0.0,0.0,9
-22.0,0.0,0.0,8
-11.0,0.0,0.0,4
0.0,0.0,0.0,1
-21.0,0.0,0.0,5
-10.0,0.0,0.0,1
1.0,0.0,0.0,3
-69.0,0.0,0.0,1
11.0,0.0,0.0,3
12.0,0.0,0.0,0
22.0,0.0,0.0,5
23.0,0.0,0.0,3
-44.0,0.0,0.0,8
33.0,0.0,0.0,2
34.0,0.0,0.0,5
44.0,0.0,0.0,9
21.0,0.0,0.0,10
45.0,0.0,0.0,2
-32.0,0.0,0.0,5
-20.0,0.0,0.0,3
-9.0,0.0,0.0,2
2.0,0.0,0.0,4
13.0,0.0,0.0,3
-31.0,0.0,0.0,9
3.0,0.0,0.0,6
14.0,0.0,0.0,9
-56.0,0.0,0.0,4
-8.0,0.0,0.0,1
24.0,0.0,0.0,9
25.0,0.0,0.0,9
35.0,0.0,0.0,8
36.0,0.0,0.0,10
46.0,0.0,0.0,8
47.0,0.0,0.0,1
57.0,0.0,0.0,10
58.0,0.0,0.0,8
-19.0,0.0,0.0,5
68.0,0.0,0.0,7
69.0,0.0,0.0,1
80.0,0.0,0.0,3
79.0,0.0,0.0,4
56.0,0.0,0.0,2
-43.0,0.0,0.0,6
-1.0,6.0,2.0,10
-30.0,10.0,4.0,7
-25.0,9.0,2.0,10
-36.0,9.0,2.0,10
-19.0,10.0,4.0,5
-8.0,10.0,4.0,7
-13.0,10.0,6.0,5
-43.0,6.0,4.0,0
33.0,0.0,2.0,10
-1.0,5.0,2.0,10
33.0,3.0,2.0,10
22.0,9.0,6.0,5
21.0,7.0,2.0,10
5.0,10.0,4.0,5
38.0,1.0,4.0,10
28.0,9.0,4.0,8
33.0,2.0,2.0,10
10.0,6.0,2.0,10
22.0,5.0,2.0,10
10.0,9.0,2.0,10
21.0,4.0,2.0,10
5.0,9.0,4.0,6
32.0,5.0,2.0,10
-37.0,10.0,6.0,9
22.0,2.0,2.0,10
-12.0,10.0,2.0,10
-14.0,9.0,2.0,10
10.0,7.0,2.0,10
43.0,2.0,2.0,10
16.0,3.0,4.0,6
-36.0,10.0,2.0,10
-37.0,6.0,6.0,7
33.0,7.0,6.0,8
-1.0,7.0,2.0,10
27.0,8.0,4.0,4
33.0,4.0,2.0,10
27.0,6.0,4.0,7
44.0,5.0,2.0,10
-24.0,5.0,2.0,10
-25.0,10.0,2.0,10
-2.0,10.0,6.0,0
27.0,5.0,4.0,6
32.0,4.0,2.0,10
-1.0,9.0,2.0,10
44.0,3.0,2.0,10
-1.0,10.0,2.0,10
-43.0,8.0,4.0,9
38.0,0.0,4.0,9
43.0,0.0,2.0,10
-25.0,1.0,6.0,5
16.0,10.0,4.0,2
22.0,8.0,2.0,10
21.0,9.0,2.0,10
22.0,7.0,2.0,10
22.0,4.0,2.0,10
32.0,3.0,2.0,10
11.0,8.0,2.0,10
22.0,9.0,2.0,10
38.0,2.0,4.0,1
44.0,0.0,2.0,10
-62.0,0.0,2.0,10
-43.0,5.0,4.0,7
10.0,8.0,2.0,10
21.0,6.0,2.0,10
11.0,5.0,6.0,2
22.0,5.0,6.0,3
-37.0,7.0,6.0,0
44.0,2.0,2.0,10
44.0,4.0,2.0,10
38.0,5.0,4.0,3
11.0,7.0,2.0,10
-49.0,9.0,2.0,10
-49.0,4.0,2.0,10
33.0,6.0,2.0,10
-37.0,9.0,6.0,1
-37.0,8.0,6.0,4
-49.0,7.0,2.0,10
11.0,9.0,2.0,10
-43.0,7.0,4.0,9
-49.0,6.0,2.0,10
-43.0,3.0,4.0,0
-49.0,3.0,2.0,10
55.0,1.0,2.0,10
38.0,4.0,4.0,9
-43.0,4.0,4.0,4
22.0,6.0,2.0,10
17.0,9.0,4.0,5
-61.0,9.0,2.0,10
32.0,6.0,2.0,10
17.0,10.0,4.0,3
-62.0,3.0,2.0,10
33.0,6.0,6.0,7
-56.0,0.0,4.0,6
-49.0,10.0,2.0,10
-37.0,5.0,6.0,1
54.0,0.0,2.0,10
49.0,1.0,4.0,8
43.0,1.0,2.0,10
-49.0,2.0,2.0,10
49.0,0.0,4.0,5
33.0,8.0,6.0,3
22.0,10.0,2.0,10
-37.0,4.0,6.0,5
27.0,10.0,4.0,1
33.0,9.0,2.0,10
-43.0,10.0,4.0,7
-56.0,5.0,4.0,2
-62.0,4.0,2.0,10
-49.0,8.0,2.0,10
-56.0,3.0,4.0,4
-62.0,1.0,2.0,10
49.0,2.0,4.0,1
43.0,3.0,2.0,10
38.0,6.0,4.0,3
38.0,7.0,4.0,8
-56.0,1.0,4.0,7
33.0,7.0,2.0,10
-56.0,6.0,4.0,2
11.0,10.0,2.0,10
55.0,3.0,2.0,10
-56.0,7.0,4.0,4
-61.0,6.0,2.0,10
-62.0,2.0,2.0,10
55.0,2.0,2.0,10
38.0,9.0,4.0,5
33.0,9.0,6.0,8
33.0,8.0,2.0,10
28.0,10.0,4.0,8
33.0,10.0,6.0,8
55.0,0.0,2.0,10
43.0,5.0,2.0,10
-56.0,4.0,4.0,4
49.0,3.0,4.0,6
-55.0,7.0,4.0,9
38.0,8.0,4.0,1
44.0,7.0,2.0,10
32.0,7.0,2.0,10
-56.0,2.0,4.0,6
49.0,5.0,4.0,6
-55.0,9.0,4.0,7
-74.0,2.0,2.0,10
-55.0,8.0,4.0,1
43.0,4.0,2.0,10
-75.0,0.0,2.0,10
39.0,10.0,4.0,8
-74.0,4.0,2.0,10
-61.0,5.0,2.0,10
