logPriceRatio,rHold,rTime,policyAction
-31.0,6.0,4.0,7
-25.0,3.0,2.0,10
16.0,8.0,4.0,6
15.0,2.0,8.0,8
-14.0,4.0,6.0,3
5.0,6.0,4.0,5
-3.0,1.0,2.0,10
-9.0,1.0,4.0,5
16.0,9.0,4.0,7
22.0,10.0,6.0,8
32.0,1.0,2.0,10
16.0,6.0,8.0,5
-26.0,1.0,6.0,4
-13.0,5.0,2.0,10
-14.0,6.0,2.0,10
-25.0,6.0,2.0,10
-2.0,6.0,6.0,4
-27.0,1.0,2.0,10
-7.0,10.0,4.0,4
16.0,4.0,8.0,4
27.0,2.0,4.0,5
-8.0,9.0,4.0,2
-14.0,7.0,2.0,10
4.0,8.0,4.0,6
-3.0,3.0,2.0,10
-13.0,6.0,2.0,10
-32.0,7.0,4.0,0
-38.0,1.0,2.0,10
-14.0,3.0,6.0,5
27.0,3.0,4.0,6
33.0,1.0,2.0,10
9.0,3.0,2.0,10
27.0,7.0,4.0,2
33.0,5.0,2.0,10
-1.0,8.0,2.0,10
16.0,9.0,8.0,4
-32.0,1.0,4.0,5
32.0,2.0,2.0,10
-3.0,5.0,6.0,8
3.0,5.0,4.0,5
9.0,4.0,2.0,10
-31.0,2.0,4.0,7
16.0,5.0,8.0,10
21.0,3.0,6.0,10
22.0,3.0,2.0,10
5.0,5.0,4.0,6
3.0,7.0,4.0,2
-3.0,2.0,2.0,10
-3.0,1.0,6.0,0
-9.0,0.0,4.0,0
32.0,2.0,6.0,10
26.0,1.0,4.0,3
-9.0,2.0,4.0,7
15.0,0.0,8.0,5
26.0,0.0,4.0,7
-19.0,8.0,8.0,4
16.0,8.0,8.0,3
-19.0,6.0,8.0,7
-20.0,2.0,8.0,1
-20.0,0.0,8.0,8
-38.0,10.0,6.0,10
-25.0,10.0,6.0,2
-14.0,10.0,6.0,9
-3.0,10.0,6.0,6
-38.0,9.0,6.0,1
-14.0,9.0,6.0,1
-3.0,9.0,6.0,2
-38.0,8.0,6.0,7
-26.0,8.0,6.0,3
-14.0,8.0,6.0,1
-3.0,8.0,6.0,8
-38.0,7.0,6.0,10
-26.0,7.0,6.0,5
-14.0,7.0,6.0,9
-3.0,7.0,6.0,9
-38.0,6.0,6.0,6
-26.0,6.0,6.0,10
-14.0,6.0,6.0,10
-3.0,6.0,6.0,10
-38.0,5.0,6.0,7
-26.0,5.0,6.0,1
-14.0,5.0,6.0,5
-38.0,4.0,6.0,0
-26.0,4.0,6.0,3
-3.0,4.0,6.0,2
-39.0,3.0,6.0,9
-26.0,3.0,6.0,2
-15.0,3.0,6.0,10
-4.0,3.0,6.0,10
-39.0,2.0,6.0,6
-26.0,2.0,6.0,2
-15.0,2.0,6.0,2
-4.0,2.0,6.0,2
-39.0,1.0,6.0,5
-15.0,1.0,6.0,7
-4.0,1.0,6.0,2
-39.0,0.0,6.0,7
-27.0,0.0,6.0,6
-15.0,0.0,6.0,1
-4.0,0.0,6.0,5
10.0,10.0,6.0,5
-25.0,8.0,6.0,2
-13.0,8.0,6.0,4
10.0,8.0,6.0,4
-2.0,2.0,6.0,0
9.0,2.0,6.0,3
21.0,10.0,6.0,10
21.0,9.0,6.0,1
-2.0,8.0,6.0,0
21.0,8.0,6.0,7
-2.0,7.0,6.0,2
21.0,7.0,6.0,9
21.0,6.0,6.0,9
-2.0,5.0,6.0,5
21.0,5.0,6.0,7
-2.0,4.0,6.0,10
-2.0,3.0,6.0,2
20.0,2.0,6.0,0
20.0,1.0,6.0,3
20.0,0.0,6.0,8
32.0,10.0,6.0,3
32.0,9.0,6.0,10
9.0,8.0,6.0,8
32.0,8.0,6.0,7
9.0,7.0,6.0,0
32.0,7.0,6.0,0
9.0,6.0,6.0,2
32.0,6.0,6.0,8
9.0,5.0,6.0,2
32.0,5.0,6.0,8
9.0,4.0,6.0,1
32.0,4.0,6.0,6
-3.0,3.0,6.0,6
9.0,3.0,6.0,10
32.0,3.0,6.0,4
31.0,1.0,6.0,7
31.0,0.0,6.0,7
-38.0,3.0,6.0,2
-38.0,2.0,6.0,7
-3.0,2.0,6.0,4
-25.0,2.0,6.0,3
21.0,1.0,6.0,10
32.0,1.0,6.0,4
-38.0,1.0,6.0,5
-3.0,0.0,6.0,4
8.0,0.0,6.0,6
32.0,0.0,6.0,6
-38.0,0.0,6.0,3
31.0,2.0,6.0,2
-57.0,10.0,4.0,10
-44.0,10.0,4.0,3
-33.0,10.0,4.0,2
-22.0,10.0,4.0,0
-57.0,9.0,4.0,2
-45.0,9.0,4.0,3
-33.0,9.0,4.0,5
-22.0,9.0,4.0,5
-57.0,8.0,4.0,4
-45.0,8.0,4.0,9
-33.0,8.0,4.0,7
-22.0,8.0,4.0,0
-57.0,7.0,4.0,9
-45.0,7.0,4.0,9
-33.0,7.0,4.0,5
-22.0,7.0,4.0,8
-57.0,6.0,4.0,1
-45.0,6.0,4.0,1
-33.0,6.0,4.0,5
-22.0,6.0,4.0,2
-57.0,5.0,4.0,10
-45.0,5.0,4.0,9
-33.0,5.0,4.0,10
-22.0,5.0,4.0,9
-58.0,4.0,4.0,9
-45.0,4.0,4.0,10
-33.0,4.0,4.0,6
-22.0,4.0,4.0,1
-58.0,3.0,4.0,6
-45.0,3.0,4.0,7
-34.0,3.0,4.0,6
-23.0,3.0,4.0,2
-58.0,2.0,4.0,2
-45.0,2.0,4.0,4
-34.0,2.0,4.0,2
-23.0,2.0,4.0,0
-58.0,1.0,4.0,5
-46.0,1.0,4.0,4
-34.0,1.0,4.0,8
-23.0,1.0,4.0,0
-58.0,0.0,4.0,2
-46.0,0.0,4.0,10
-34.0,0.0,4.0,1
-23.0,0.0,4.0,7
-31.0,10.0,4.0,3
-20.0,10.0,4.0,7
-9.0,10.0,4.0,2
-44.0,9.0,4.0,10
-32.0,9.0,4.0,2
-20.0,9.0,4.0,2
-9.0,9.0,4.0,3
-44.0,8.0,4.0,5
-32.0,8.0,4.0,1
-20.0,8.0,4.0,9
-9.0,8.0,4.0,10
-44.0,7.0,4.0,4
-20.0,7.0,4.0,2
-9.0,7.0,4.0,1
-44.0,6.0,4.0,4
-32.0,6.0,4.0,4
-20.0,6.0,4.0,3
-9.0,6.0,4.0,10
-44.0,5.0,4.0,5
-32.0,5.0,4.0,2
-20.0,5.0,4.0,7
-9.0,5.0,4.0,10
-44.0,4.0,4.0,10
-32.0,4.0,4.0,2
-20.0,4.0,4.0,3
-9.0,4.0,4.0,2
-32.0,3.0,4.0,5
-21.0,3.0,4.0,3
-10.0,3.0,4.0,7
-32.0,2.0,4.0,7
-21.0,2.0,4.0,6
-10.0,2.0,4.0,4
-45.0,1.0,4.0,4
-21.0,1.0,4.0,3
-10.0,1.0,4.0,3
-45.0,0.0,4.0,0
-33.0,0.0,4.0,1
-21.0,0.0,4.0,5
-10.0,0.0,4.0,2
2.0,10.0,4.0,7
2.0,9.0,4.0,5
-21.0,8.0,4.0,1
2.0,8.0,4.0,4
-21.0,7.0,4.0,7
