,logPriceRatio,rHold,rTime,action,J,M,JAdj,MAdj,Q
0,0,10,10,0.0,-0.01741536904809421,0.0022904317634039172,0,0,-0.01979993306928133
1,34,0,2,10.0,0.001538177891079283,1.8756477773677867e-05,0,0,0.0015185093072203957
2,22,0,2,10.0,0.0010785316297079461,8.250888969252854e-06,0,0,0.0010700264395163792
3,10,0,2,10.0,0.0024433467922813446,1.0236652398430097e-05,0,0,0.00243822674166005
4,-20,0,2,10.0,-0.007511182398885179,6.365086063452849e-05,0,0,-0.0075198619984114265
5,-8,0,2,10.0,-0.0031417833000051856,1.1116702013183778e-05,0,0,-0.0031432783796559766
6,4,0,2,10.0,0.0010846234908985447,1.6826234352822974e-06,0,0,0.0010840160325166167
7,-14,0,2,10.0,-0.005451578013545899,3.263002696381779e-05,0,0,-0.005455070402497148
8,-2,0,2,10.0,-0.000803538320805033,8.49991035121761e-07,0,0,-0.0008037835014475765
9,10,1,2,10.0,0.006742690362595011,4.6424797661693094e-05,0,0,0.006741537253391977
10,-20,3,2,10.0,-0.04036857019853383,0.0016452317179677994,0,0,-0.040387302508246445
11,28,0,2,10.0,0.0014145363090289913,1.4296101518703496e-05,0,0,0.0013997820827700207
12,4,1,2,10.0,0.0022440212098430116,5.076618534262442e-06,0,0,0.002243972025030167
13,-14,3,2,10.0,-0.03008940437915514,0.0009150397058359724,0,0,-0.030101005319087524
14,-8,1,2,10.0,-0.008453665909988618,7.282968096587863e-05,0,0,-0.008455304166366428
15,-32,0,2,10.0,-0.012668830567351083,0.00017795295739813537,0,0,-0.012689774994695747
16,-2,1,2,10.0,-0.002786414984969986,8.269846131932059e-06,0,0,-0.002787021870166146
17,-14,2,2,10.0,-0.02070367783068891,0.0004328669716405447,0,0,-0.020708747465797213
18,4,2,2,10.0,0.0026019707521438814,6.790752214716328e-06,0,0,0.0026019461516402363
19,4,4,2,10.0,0.000892634050966231,1.0649776091231778e-06,0,0,0.0008923122324940165
20,16,0,2,10.0,0.000652146835331199,3.3924713331801133e-06,0,0,0.0006485862243251818
21,-2,3,2,10.0,-0.009160554430577608,8.559917457663024e-05,0,0,-0.009162574531098875
22,5,5,2,10.0,-0.0008907883585995423,1.5247308086654288e-06,0,0,-0.0008916658308901611
23,-1,3,2,10.0,-0.008388503521950072,7.17795086794157e-05,0,0,-0.008390198542760048
24,-32,3,2,10.0,-0.060053518216404034,0.003634831246147488,0,0,-0.06008760565157945
25,-26,0,2,10.0,-0.010051181806807039,0.00011038542330402857,0,0,-0.010062412807915687
26,-26,3,2,10.0,-0.04939924806994013,0.00246314116193644,0,0,-0.04942667461241328
27,-1,4,2,10.0,-0.012310977604291161,0.0001540153588774264,0,0,-0.012313923831456042
28,-8,2,2,10.0,-0.01278670660026814,0.00016616570742524771,0,0,-0.012789905610360829
29,-14,1,2,10.0,-0.014346447986838148,0.0002069300889195417,0,0,-0.014347779409734735
30,-7,6,2,10.0,-0.04276514163153527,0.0018299383367630716,0,0,-0.04276643882913263
31,-20,1,2,10.0,-0.019883487565076585,0.0003970299832338203,0,0,-0.019885499851656503
32,-26,2,2,10.0,-0.0368185697840215,0.0013648293509953215,0,0,-0.036829636508086856
33,-2,4,2,10.0,-0.012054702906211048,0.00014700710595478092,0,0,-0.01205673239876837
34,22,1,2,10.0,0.01433366048385764,0.00020657829989675057,0,0,0.014332311111421341
35,-32,4,2,10.0,-0.0748681652641849,0.005632300111888895,0,0,-0.0749006347944212
36,-38,0,2,10.0,-0.015704661228163004,0.0002646774559726859,0,0,-0.015726310514180587
37,-32,2,2,10.0,-0.044751376220433146,0.002012924416863868,0,0,-0.04476366271232249
38,-26,1,2,10.0,-0.025118327002720382,0.0006329300007042628,0,0,-0.025120726581866787
39,4,3,2,10.0,0.0019025684244785004,3.756742215878388e-06,0,0,0.0019024040537512334
40,16,3,2,10.0,0.023503337649973203,0.0005551182754843966,0,0,0.023500083976218306
41,-2,2,2,10.0,-0.004953631392732005,2.5344057271193345e-05,0,0,-0.004954598104687365
42,-7,3,2,10.0,-0.019583644309851107,0.00038775008850863225,0,0,-0.01958872146671575
43,-20,4,2,10.0,-0.05056381461297513,0.0025710947577486415,0,0,-0.05058108910441512
44,-1,1,2,10.0,-0.0027366946044549566,7.617638780216093e-06,0,0,-0.0027368483741615525
45,-8,3,2,10.0,-0.019766613667240602,0.0003955368727485461,0,0,-0.019772395095494926
46,-20,2,2,10.0,-0.028738001015044156,0.000834220362859862,0,0,-0.028748018207667175
47,-13,3,2,10.0,-0.030121178545903685,0.0009153438168762347,0,0,-0.030130848649762117
48,-1,5,2,10.0,-0.017303966001706757,0.0003025722857080387,0,0,-0.017307740057290535
49,5,1,2,10.0,0.0026687335354713257,7.1673674712449946e-06,0,0,0.002668679260925851
50,5,0,2,10.0,0.0017362189982321064,3.0170316397849143e-06,0,0,0.001736215907956151
51,-19,3,2,10.0,-0.04008732309764114,0.001618542546427883,0,0,-0.04010118198559299
52,17,3,2,10.0,0.02298714041355713,0.0005299982752655352,0,0,0.022985232832509597
53,-38,2,2,10.0,-0.052912432387833205,0.002805803215005989,0,0,-0.05291972564440397
54,-7,4,2,10.0,-0.025123430737793873,0.0006368077726550559,0,0,-0.025130175938535868
55,11,3,2,10.0,0.01319720847124127,0.0001747317577940552,0,0,0.013196529935608487
56,-8,4,2,10.0,-0.025216679198420973,0.0006407990110025896,0,0,-0.025222580919868787
57,-14,4,2,10.0,-0.03774874005992415,0.0014351365106221449,0,0,-0.03776094302133666
58,5,8,2,10.0,-0.01155656888013624,0.00013385898707724467,0,0,-0.011556934523491333
59,11,4,2,10.0,0.014942592557828387,0.00022342954328131198,0,0,0.014942414392709935
60,10,3,2,10.0,0.012838129481315755,0.0001652206581384494,0,0,0.01283764577384445
61,16,1,2,10.0,0.01071370518850692,0.0001159045713801793,0,0,0.010712359877490193
62,-7,1,2,10.0,-0.008509071440550686,7.27945358525603e-05,0,0,-0.008509539727437284
63,-19,5,2,10.0,-0.06485930244820105,0.004223869870921881,0,0,-0.06487987135642664
64,11,5,2,10.0,0.015869608301454487,0.0002519277219671139,0,0,0.015869508396263863
65,10,2,2,10.0,0.009765556403502438,9.605132191302824e-05,0,0,0.009764734127450788
66,22,3,2,10.0,0.033328819105521365,0.0011146669839412287,0,0,0.03332419094435417
67,-7,5,2,10.0,-0.03319761667463297,0.001109002179858253,0,0,-0.03320592118701183
68,5,9,2,10.0,-0.0168292469990539,0.00028360347528206707,0,0,-0.016829702903926182
69,34,2,2,10.0,0.03812045704680092,0.0014559880960123193,0,0,0.03811707442613453
70,-26,4,2,10.0,-0.06335362982826098,0.004034833478563118,0,0,-0.06337901110763713
71,11,6,2,10.0,0.015724100558205438,0.0002475865842876982,0,0,0.015723693463097668
72,5,3,2,10.0,0.002483788305936003,6.266445488319405e-06,0,0,0.002483671616568465
73,11,2,2,10.0,0.010776458921390137,0.00011658458318690595,0,0,0.010775915901827141
74,-1,9,2,10.0,-0.0438408068971474,0.0019227187272496545,0,0,-0.043841649750575425
75,5,4,2,10.0,0.0012225677647566492,1.8203380834555431e-06,0,0,0.001222176965383809
76,16,2,2,10.0,0.01703613828516658,0.0002920268848577078,0,0,0.017033982032542912
77,-13,9,2,10.0,-0.09665029336831141,0.009341554577475536,0,0,-0.09665062381146526
78,-7,9,2,10.0,-0.07073302993210112,0.005003666659945326,0,0,-0.0707336360959849
79,17,5,2,10.0,0.032319112690521984,0.0010454053456656366,0,0,0.03231805632984641
80,22,2,2,10.0,0.024186466411925806,0.0005874306657470351,0,0,0.024183531802023622
81,-13,4,2,10.0,-0.037349428493900376,0.001404772124263187,0,0,-0.03736117927243103
82,23,5,2,10.0,0.0502392082929669,0.0025288863688747,0,0,0.050233318310202196
83,10,4,2,10.0,0.014131041691404621,0.0001997881081270594,0,0,0.01413091956879321
84,35,9,2,10.0,0.03473778328543056,0.004555215749009863,0,0,0.030719580691721374
85,-13,1,2,10.0,-0.014096511831644504,0.00019898897016399063,0,0,-0.014096844620857661
86,-8,5,2,10.0,-0.03398620749206522,0.0011622205563694605,0,0,-0.03399479740007612
87,4,5,2,10.0,-0.001679128309599842,3.5166540310630306e-06,0,0,-0.0016799649281809981
88,-1,2,2,10.0,-0.005250392501679724,2.810263237958625e-05,0,0,-0.005251035714829194
89,25,1,4,6.0,0.01257292465526036,0.0001761524342846011,0,0,0.012551235855383064
90,13,0,4,2.0,0.0013225311296587929,5.58962048182678e-06,0,0,0.0013179224913873007
91,1,0,4,10.0,-0.00031412734349614454,4.894923594718623e-06,0,0,-0.00031988284062428856
92,-23,0,4,3.0,-0.010344363929055404,0.00012617845948533401,0,0,-0.010367371042321714
93,2,0,4,9.0,-0.00030531769080771197,4.295749576981605e-06,0,0,-0.0003103607276293057
94,-11,0,4,10.0,-0.006620349993767252,5.83833331269723e-05,0,0,-0.00663781515267165
95,-4,1,4,5.0,-0.004425550990743847,2.72798384781752e-05,0,0,-0.004434784195031649
96,-5,0,4,0.0,-0.002210374789401378,1.232620099987111e-05,0,0,-0.0022193033225496777
97,1,1,4,2.0,-0.00030468354400947455,2.8813399136272082e-05,0,0,-0.00033914822449861284
