,logPriceRatio,rHold,rTime,action,J,M,JAdj,MAdj,Q
0,0,10,10,0.0,-0.017345062857505127,0.007121625237073962,0,0,-0.02552999169535692
1,-26,0,2,10.0,-0.010139318274453989,0.0001101533423156156,0,0,-0.010148135355147915
2,8,1,2,10.0,0.004642626042196293,2.2537500364020174e-05,0,0,0.004641445813640684
3,-38,1,2,10.0,-0.03386527539753578,0.0011571887656894417,0,0,-0.033877673663061984
4,31,1,2,10.0,0.01841524389402971,0.00034892003386451597,0,0,0.01840348530260421
5,-14,5,2,10.0,-0.050065065594126164,0.002516798734399812,0,0,-0.05007741112387295
6,-74,2,2,10.0,-0.09003262036496633,0.008163205705306972,0,0,-0.09010141993559612
7,-25,0,2,10.0,-0.009403202683500018,9.711349415027038e-05,0,0,-0.009413634611631964
8,-50,1,2,10.0,-0.04327776286411722,0.001887913159027259,0,0,-0.04329570094472261
9,32,6,2,10.0,0.0920724384604379,0.008479895948202575,0,0,0.09206936403145616
10,-25,9,2,10.0,-0.14480731354233672,0.020975497768649362,0,0,-0.1448149211982976
11,10,3,2,10.0,0.011766683940400037,0.00013879456202218048,0,0,0.011766276287117343
12,20,2,2,10.0,0.02116094719780578,0.00045081871749996625,0,0,0.021157307560375812
13,19,0,2,10.0,0.0007841087710150414,3.580510703021249e-06,0,0,0.0007805499500491551
14,-3,5,2,10.0,-0.020497136597066007,0.0004233628067974032,0,0,-0.02050101283480835
15,-39,4,2,10.0,-0.08801773449965128,0.007769393734609756,0,0,-0.08804446107744167
16,-50,0,2,10.0,-0.019552722099554005,0.0003999813717813274,0,0,-0.01957392901588873
17,9,0,2,10.0,0.001962984082590154,6.955336029461194e-06,0,0,0.0019592616471650033
18,32,2,2,10.0,0.036248812702635615,0.0013208722028492876,0,0,0.036240537766037376
19,8,0,2,10.0,0.002075928464900582,6.279510069517244e-06,0,0,0.0020735644276068227
20,-3,0,2,10.0,-0.0011684565533924822,1.8160483751467104e-06,0,0,-0.0011689974625820592
21,-25,3,2,10.0,-0.05021278144467819,0.0025417665072952744,0,0,-0.0502373131489393
22,-2,1,2,10.0,-0.0026800644470929415,7.807826969604111e-06,0,0,-0.0026808145449277805
23,-62,1,2,10.0,-0.05154912614265122,0.002685781640233261,0,0,-0.05158328922364597
