,logPriceRatio,rHold,rTime,action,J,M,JAdj,MAdj,Q
0,0,10,10,0.0,-0.019372241613412108,0.007466765886294599,0,0,-0.027882020182811527
1,9,0,2,10.0,0.002417984865592674,8.809228091516135e-06,0,0,0.002414429772855137
2,-27,0,2,10.0,-0.010344829056291993,0.00011711676472238516,0,0,-0.010356950588114172
3,-50,0,2,10.0,-0.019452900749708003,0.000406253583972884,0,0,-0.019486306633381877
4,-39,0,2,10.0,-0.015611603679198463,0.00025580825960573226,0,0,-0.015626106987401706
5,-3,1,2,10.0,-0.003364142935183061,1.2339600804232325e-05,0,0,-0.0033653695069221293
6,44,2,2,10.0,0.051870184993598904,0.0026962161658167167,0,0,0.05186334490414305
7,20,3,2,10.0,0.029315274893850104,0.0008638795598054519,0,0,0.02930988183260596
8,8,0,2,10.0,0.0015153429124261115,4.743450196880676e-06,0,0,0.0015124062891605427
9,-15,1,2,10.0,-0.013155756124036484,0.00018042129267684026,0,0,-0.013164572972214544
10,-26,1,2,10.0,-0.024255989869898114,0.0005938074070244792,0,0,-0.02426253510484517
11,-3,0,2,10.0,-0.0012247943967200344,1.9377665092270754e-06,0,0,-0.0012253195709540227
12,43,1,2,10.0,0.026214385518383287,0.0007012009656880299,0,0,0.02619757716928536
13,-16,0,2,10.0,-0.005937528079554055,4.262915567831249e-05,0,0,-0.005946377978733439
14,-15,0,2,10.0,-0.005701368732822283,3.6892334034209085e-05,0,0,-0.005706632807150209
15,55,0,2,10.0,0.026266679703412944,0.0007090559834194364,0,0,0.026243738678479643
16,21,0,2,10.0,0.0009182682500314998,5.712154658298124e-06,0,0,0.0009124255243363611
17,33,0,2,10.0,0.016014532171851725,0.00025877122233363385,0,0,0.016011764993871292
18,32,0,2,10.0,0.0009275466570707524,9.842781880959812e-06,0,0,0.0009167677301748524
19,19,0,2,10.0,0.00036803782411041553,1.6384216235954873e-06,0,0,0.0003662342603700721
20,-14,2,2,10.0,-0.019861124076830283,0.000400986808285478,0,0,-0.01986895114725856
21,-26,0,2,10.0,-0.010548902595926802,0.00011751146278592471,0,0,-0.01055638113609589
22,9,1,2,10.0,0.005711192581457273,3.3625231448095096e-05,0,0,0.00570998356856255
23,-51,0,2,10.0,-0.009619745162858675,0.0001646376246438625,0,0,-0.009706262916033298
24,-2,1,2,10.0,-0.002823614353608813,8.433519422453408e-06,0,0,-0.0028241672192942705
25,55,2,2,10.0,0.06645274641346526,0.004428683217690467,0,0,0.06643748755930748
26,-2,3,2,10.0,-0.008664374892569831,7.74930512597124e-05,0,0,-0.008667280883346692
27,-2,0,2,10.0,-0.0009676705772552448,1.1351905956976456e-06,0,0,-0.0009679091423547794
28,-14,3,2,10.0,-0.03053739281031287,0.0009422475847396734,0,0,-0.03054905108041886
29,9,2,2,10.0,0.008290821142896232,6.910335376781183e-05,0,0,0.008290382376643052
30,44,0,2,10.0,0.019340290720720528,0.0003846386467983028,0,0,0.01932758055875695
31,-25,0,2,10.0,-0.01045068989845262,0.00011645378010156474,0,0,-0.010459374131350155
32,-14,0,2,10.0,-0.005109358923407721,3.1096527022402365e-05,0,0,-0.005115348097504757
33,20,2,2,10.0,0.022631386235245705,0.0005172240542870058,0,0,0.02262533294161594
34,65,0,2,10.0,0.0017175338584072858,3.896561005525729e-05,0,0,0.0016743150334067075
35,-38,0,2,10.0,-0.014946520726989826,0.0002397808943452151,0,0,-0.01496617962199328
36,43,0,2,10.0,0.0007504953340383134,8.853005901087771e-06,0,0,0.000740547618852704
37,-4,0,2,10.0,-0.0014070034444753216,2.900543353819944e-06,0,0,-0.001408108506068587
38,-5,0,2,10.0,-0.001137036097944641,2.729879616802919e-06,0,0,-0.0011387605321791696
39,22,1,2,10.0,0.012622388543689486,0.00016120333172868798,0,0,0.012620134176672496
40,-27,1,2,10.0,-0.024977793732597595,0.000632363416417352,0,0,-0.024987961616600586
41,10,5,2,10.0,0.013628763478779006,0.00018647005903541606,0,0,0.013627891240689107
42,33,1,2,10.0,0.020252726687352136,0.0004153560590705728,0,0,0.020246506942394552
43,-13,0,2,10.0,-0.005678307241001543,3.4522350003893204e-05,0,0,-0.005681042253258362
44,20,1,2,10.0,0.014169759251748225,0.00021121297281890324,0,0,0.014157242177068546
45,-40,0,2,10.0,-0.014360364697680305,0.00024143517046851557,0,0,-0.014402622813142064
46,21,2,2,10.0,0.02262475660447004,0.0005146445495548746,0,0,0.022621438678698
47,8,1,2,10.0,0.0051682344900860445,2.7796746403182997e-05,0,0,0.0051669311716956426
48,-26,3,2,10.0,-0.05090259863720459,0.0026187774771713533,0,0,-0.0509358421521858
49,-62,1,2,10.0,-0.052181984219428185,0.002749896442951311,0,0,-0.052214308578477774
50,31,0,2,10.0,0.003951491758967391,4.28723494164556e-05,0,0,0.003918782084213069
51,-37,0,2,10.0,-0.015038080156406898,0.00024185846418677372,0,0,-0.015056937687682403
52,10,2,2,10.0,0.009463319524228183,9.021839433595194e-05,0,0,0.009462522750726206
53,-62,0,2,10.0,-0.023367692016514886,0.0005858134475099213,0,0,-0.02341540931731236
54,20,0,2,10.0,0.0006902305164017845,4.377685433288665e-06,0,0,0.0006855489956807649
55,10,0,2,10.0,0.001658475170387866,5.4683460872880766e-06,0,0,0.0016552138029520718
56,32,1,2,10.0,0.020531637194968408,0.0004296987953832661,0,0,0.020521856391595462
57,-38,2,2,10.0,-0.05042142015873693,0.0025663369269456476,0,0,-0.05045024093808305
58,-3,2,2,10.0,-0.006364539441973877,4.1796238339934503e-05,0,0,-0.006366086093211669
59,32,2,2,10.0,0.03636606074169754,0.0013277268758192027,0,0,0.0363597769393571
60,-2,2,2,10.0,-0.0054049213235981405,3.033711134818869e-05,0,0,-0.005406270047798824
61,-50,1,2,10.0,-0.04366998759555717,0.001919455612680325,0,0,-0.04368485295085822
62,30,0,2,10.0,0.0003300555563178233,2.989646653047058e-06,0,0,0.00032659870433847436
63,-74,0,2,10.0,-0.027923022722695225,0.0008137114557227336,0,0,-0.02796384223199592
64,-4,6,2,10.0,-0.032343295329718656,0.0010471336861887955,0,0,-0.03234454924980273
65,21,7,2,10.0,0.054896719866205375,0.003015763711375331,0,0,0.05489418323503733
66,-15,5,2,10.0,-0.05272557071825267,0.0027935595444157774,0,0,-0.05274185920247305
67,44,1,2,10.0,0.02779297004343756,0.0007837350959760451,0,0,0.027779426948868806
68,-39,1,2,10.0,-0.03486913397082308,0.0012296901075723472,0,0,-0.034885734295259645
69,19,1,2,10.0,0.012490696401614144,0.00015808336632202103,0,0,0.012488217357944474
70,20,4,2,10.0,0.036480795098132075,0.001333301085042536,0,0,0.03647785188927131
71,-38,4,2,10.0,-0.08689951814514059,0.0075719501026381,0,0,-0.08692402676367716
72,-38,1,2,10.0,-0.03404958325345637,0.0011702557978967108,0,0,-0.03406264126725155
73,54,0,2,10.0,0.003195448618750599,4.68618032769807e-05,0,0,0.0031514675250683124
