,logPriceRatio,rHold,rTime,action,J,M,JAdj,MAdj,Q
0,0,10,10,0.0,-0.0226116696644841,0.0009511251462569,0,0,-0.02313947471397348
1,-14,0,2,10.0,-0.0059093559941076484,3.50423957102266e-05,0,0,-0.005909502283041805
2,-2,0,2,10.0,-0.0006757140392319418,4.813749827252021e-07,0,0,-0.0006757437818558339
3,-8,0,2,10.0,-0.0031006339230130243,9.749970932615728e-06,0,0,-0.003100797171262716
4,-14,2,2,10.0,-0.021930303491286333,0.00048188051847716795,0,0,-0.021931434259995025
5,-1,1,2,10.0,-0.0030462066302500415,9.279374834179314e-06,0,0,-0.0030462066302500415
6,-7,2,2,10.0,-0.013177559696647063,0.0001770839352000407,0,0,-0.013181682723416676
7,-1,3,2,10.0,-0.0082417899861426,6.792711045953036e-05,0,0,-0.008241789996083219
8,5,1,2,10.0,0.002905297330127714,8.440752576483495e-06,0,0,0.0029052973301276707
9,-7,1,2,10.0,-0.008821804069547561,7.782422704169732e-05,0,0,-0.008821804069547814
10,5,2,2,10.0,0.0029789505109874903,8.874146146912626e-06,0,0,0.0029789505109874903
11,10,1,2,10.0,0.00838028228746778,7.044143215302671e-05,0,0,0.008380027526345323
12,-2,1,2,10.0,-0.002820767097364192,8.421301620653629e-06,0,0,-0.0028213245868878895
13,4,0,2,10.0,0.0010385336923130245,1.296009385078316e-06,0,0,0.0010382727437270138
14,-8,2,2,10.0,-0.011648288451962224,0.00013948303282776598,0,0,-0.011652848942723403
15,-1,2,2,10.0,-0.00530366559992755,2.9192396964264527e-05,0,0,-0.005304941833729642
16,4,1,2,10.0,0.002623373825227156,6.886978125049342e-06,0,0,0.0026233679597493613
17,11,0,2,10.0,0.0037229772496085,1.3860559601109637e-05,0,0,0.003722977249608491
18,11,1,2,10.0,0.00728958701205,5.313807880624811e-05,0,0,0.00728958701205
19,-14,1,2,10.0,-0.013261895020122188,0.0001762709764912682,0,0,-0.01326236676048202
20,11,3,2,10.0,0.013567688036201495,0.00018413016667664353,0,0,0.013567630426566744
21,-13,6,2,10.0,-0.0608087180950273,0.0036984369380299,0,0,-0.06080960218503058
