,logPriceRatio,rHold,rTime,action,J,M,JAdj,MAdj,Q
0,0,10,10,0.0,-0.0230842223019448,0.0010795270028702,0,0,-0.023740197122246315
1,-8,0,2,10.0,-0.003736415909188786,1.4014806462697133e-05,0,0,-0.003736480712328296
2,-2,0,2,10.0,-0.0009793624109915753,9.636699155222566e-07,0,0,-0.000979367834011726
3,5,1,2,10.0,0.0021590802355573283,4.66163489437708e-06,0,0,0.0021590802266403647
4,-1,3,2,10.0,-0.0069953810143943,4.927081902747713e-05,0,0,-0.006995783570583415
5,5,3,2,10.0,0.0030070280165625,9.042217492391964e-06,0,0,0.0030070280165625
6,-1,1,2,10.0,-0.0014086754039152123,1.984373344084545e-06,0,0,-0.001408675412255799
7,10,0,2,10.0,0.0024726614613566522,6.314148323110335e-06,0,0,0.002472421349011894
8,4,0,2,10.0,0.001128212709035963,1.2979547547607058e-06,0,0,0.0011281826000304465
9,-1,4,2,10.0,-0.012335022134114,0.0001521613896141,0,0,-0.012335032476392022
10,-14,0,2,10.0,-0.006733965605940748,4.543423770717502e-05,0,0,-0.006734071139850966
11,-20,0,2,10.0,-0.008848815214634353,7.93413792504322e-05,0,0,-0.008850063032891578
12,-7,3,2,10.0,-0.0207253969071122,0.0004302465261006,0,0,-0.020726242246084117
13,-8,1,2,10.0,-0.004983885179848837,2.484379482462487e-05,0,0,-0.0049838907998552865
14,-1,2,2,10.0,-0.0038333595809526,1.4694645676934806e-05,0,0,-0.0038333595809526646
15,-14,1,2,10.0,-0.0140761480007476,0.0001981433664978,0,0,-0.01407615450949822
16,-7,2,2,10.0,-0.0105129708090837,0.0001105225552326,0,0,-0.010512970809083644
17,4,1,2,10.0,0.001970101526584076,3.917187234835302e-06,0,0,0.0019700584619323325
18,11,2,2,10.0,0.0119841288009895,0.0001436194003477,0,0,0.011984128732314707
19,-2,2,2,10.0,-0.0040691986386389,1.6558854492180206e-05,0,0,-0.004069199210956676
20,22,0,2,10.0,0.0042044072635831,2.428233198417784e-05,0,0,0.004196480913727771
21,5,2,2,10.0,0.0031095267582954,9.669156668503905e-06,0,0,0.0031095267582858617
22,-8,3,2,10.0,-0.0191545707776237,0.0003732285492177,0,0,-0.019162167938674944
23,17,2,2,10.0,0.0196523459616458,0.000387472287563,0,0,0.019650836858725658
24,-1,0,2,10.0,-0.0010816728623749936,1.1700161811985127e-06,0,0,-0.0010816728623749936
25,11,4,2,10.0,0.0151111267223993,0.0002283462892489,0,0,0.01511112655628511
26,-7,6,2,10.0,-0.0418327857313848,0.0017512415583108,0,0,-0.041834297246900215
27,16,0,2,10.0,0.004121892522885746,1.76032117123141e-05,0,0,0.004121156666395235
28,-13,5,2,10.0,-0.0532387192446188,0.0028371874555772,0,0,-0.05324211071914263
29,-13,3,2,10.0,-0.0323735589093844,0.0010480591769127,0,0,-0.03237357314192838
30,5,5,2,10.0,-0.0003012168133713,7.057942856611948e-07,0,0,-0.00030195488863170436
31,5,4,2,10.0,0.0008779845887078,8.558815719752841e-07,0,0,0.0008778825591470397
32,-13,1,2,10.0,-0.0104976107551875,0.0001101998315674,0,0,-0.010497610755187466
33,10,1,2,10.0,0.006027091867595305,3.650228852139149e-05,0,0,0.006026880125026155
34,-7,5,2,10.0,-0.0365311423455648,0.0013368186640793,0,0,-0.03653389550917366
35,-1,5,2,10.0,-0.0172553682030766,0.0003017227703219,0,0,-0.017260138249274384
36,11,5,2,10.0,0.016237215039969,0.0002637357045564,0,0,0.016237108777206355
37,11,3,2,10.0,0.0130481736483721,0.0001702820153146,0,0,0.013048141032664266
38,-20,2,2,10.0,-0.02759107948182042,0.0007667546587331632,0,0,-0.02759766387193366
39,4,2,2,10.0,0.0026218792718189,6.881731968775724e-06,0,0,0.0026218702945555615
40,5,0,2,10.0,0.0018907045123750048,3.574763553115207e-06,0,0,0.0018907045123750048
41,-26,0,2,10.0,-0.00994448685078,0.00010094778558646516,0,0,-0.009946952811013354
42,-7,1,2,10.0,-0.0062994802198125,3.96834510398094e-05,0,0,-0.006299480219812501
43,-2,1,2,10.0,-0.0015632695440073506,2.703954680247008e-06,0,0,-0.001563581715622982
44,-1,6,2,10.0,-0.0228881350519196,0.0005242246955163,0,0,-0.02288856461515327
45,-7,4,2,10.0,-0.0249292550412727,0.0006245295530331,0,0,-0.024932929196617038
46,10,2,2,10.0,0.009839438856954479,9.772719941404296e-05,0,0,0.009838343686081321
47,-13,2,2,10.0,-0.0224120662199999,0.0005023007122496,0,0,-0.02241206621999983
48,16,1,2,10.0,0.010909448370567997,0.00011978171070113637,0,0,0.01090852959422674
49,11,1,2,10.0,0.0072895870112468,5.313807879561545e-05,0,0,0.007289587011245506
50,-19,3,2,10.0,-0.0431547647952284,0.0018624019966424,0,0,-0.0431548467217615
51,16,2,2,10.0,0.018659917959856307,0.0003535038691245001,0,0,0.018653544362829188
52,22,2,2,10.0,0.024643993800929825,0.0006182514523204983,0,0,0.02463088377469755
53,4,3,2,10.0,0.0019649793229717,3.946452394215776e-06,0,0,0.001964876952586289
54,11,0,2,10.0,0.0047931594773703,2.2974377775665704e-05,0,0,0.004793159477370107
55,-20,1,2,10.0,-0.0192184500755699,0.0003694865645642,0,0,-0.019218615365078334
56,-14,2,2,10.0,-0.0174959099557568,0.0003066115645445,0,0,-0.01749651559499426
