,logPriceRatio,rHold,rTime,action,J,M,JAdj,MAdj,Q
0,0,10,10,0.0,-0.01792280632882783,0.007565131530471364,0,0,-0.02661549178135266
1,-14,3,2,10.0,-0.03168048090962665,0.0010118909966976945,0,0,-0.03169036666086562
2,-50,0,2,10.0,-0.018603809182891753,0.00036804575054504495,0,0,-0.01863014202420967
3,-2,0,2,10.0,-0.0008499268480641462,9.639609707393211e-07,0,0,-0.0008502167504525611
4,9,0,2,10.0,0.0019167773565058163,6.6968516939396e-06,0,0,0.001913149976994385
5,21,0,2,10.0,0.0006820075670324547,5.191915908060474e-06,0,0,0.0006763354291285696
6,-62,2,2,10.0,-0.07795945290755973,0.006107194447880007,0,0,-0.07799487468784051
7,43,0,2,10.0,0.00080345092132222,1.1475130029553884e-05,0,0,0.0007904554053463236
8,-3,0,2,10.0,-0.0011591559722350035,1.7735781334432564e-06,0,0,-0.0011596718949135737
9,-38,0,2,10.0,-0.014532324828150065,0.00022428736388787398,0,0,-0.014548043506922475
10,-15,0,2,10.0,-0.005399948250702434,3.392855502217438e-05,0,0,-0.0054056711873967265
11,-38,2,2,10.0,-0.05009743340546565,0.002527781109247241,0,0,-0.05011906733598426
12,-14,0,2,10.0,-0.004973786708063007,3.027755462333826e-05,0,0,-0.004980433508550247
13,-26,0,2,10.0,-0.009994750221095654,0.00010624855180031367,0,0,-0.01000237444487752
14,20,0,2,10.0,0.0016007835605066749,1.269058000876121e-05,0,0,0.0015886298741052676
15,-13,0,2,10.0,-0.005421190749623992,3.078292527528034e-05,0,0,-0.005422863088981759
16,8,0,2,10.0,0.002093705433403802,6.592917174184351e-06,0,0,0.002091054255725018
17,-3,3,2,10.0,-0.011075020053598774,0.00012477281254701396,0,0,-0.011077560145630053
18,8,1,2,10.0,0.0048138061005460735,2.380563806520015e-05,0,0,0.004813046609876219
19,-39,3,2,10.0,-0.0705150959438891,0.005018010052537814,0,0,-0.07056985349976341
20,32,0,2,10.0,0.0006496316200697459,6.769046829550133e-06,0,0,0.0006420151893644391
21,-27,0,2,10.0,-0.0097828637044663,0.00010793573213938245,0,0,-0.009797541276321363
22,8,2,2,10.0,0.007175794478238757,5.174754813272873e-05,0,0,0.007175487852152189
23,-1,4,2,10.0,-0.012478714298512775,0.00015738991009480442,0,0,-0.012480720217973851
24,9,1,2,10.0,0.005772152258665398,3.438579720494869e-05,0,0,0.005770870592056119
25,-25,3,2,10.0,-0.050318849519245056,0.0025493911603852886,0,0,-0.05033973497137889
26,-15,2,2,10.0,-0.021767347166817917,0.0004812311951910218,0,0,-0.021776243717830213
27,-3,1,2,10.0,-0.003237443399078698,1.1231811274156518e-05,0,0,-0.003238344324893
28,32,5,2,10.0,0.07920870428509119,0.006286681213024388,0,0,0.07919350943088956
29,20,4,2,10.0,0.03592307865591283,0.0012926124780877385,0,0,0.035920504778350223
30,-4,2,2,10.0,-0.00817122115888773,6.841836252807265e-05,0,0,-0.008173200567648472
31,-50,3,2,10.0,-0.08759424239038505,0.007732048884968391,0,0,-0.08766539949241248
32,32,1,2,10.0,0.0220998639652013,0.0004976971102683614,0,0,0.022088712217615752
33,20,6,2,10.0,0.04751569025310917,0.0022586560133908986,0,0,0.04751459202131539
34,-38,3,2,10.0,-0.07012563502810136,0.004950126149177556,0,0,-0.07016466078140106
35,-15,1,2,10.0,-0.01255054363213941,0.00016312583178236151,0,0,-0.012557275255723562
36,10,0,2,10.0,0.0004378114213046133,1.5244438433661233e-06,0,0,0.00043621210330132366
37,-75,0,2,10.0,-0.010120619229055843,0.0002204575068892132,0,0,-0.010262255917027457
38,30,0,2,10.0,0.0004128307674799934,4.663010168137987e-06,0,0,0.0004074396703693216
39,-37,2,2,10.0,-0.051239213547765616,0.0026365000412866386,0,0,-0.05125246519131735
40,55,4,2,10.0,0.1245285699038247,0.015542415483318243,0,0,0.12448650899059291
41,-50,2,2,10.0,-0.06423043029917916,0.004148930360506176,0,0,-0.06425848892008532
42,-2,1,2,10.0,-0.002793215827251183,8.186137734680619e-06,0,0,-0.0027936767269436716
43,20,1,2,10.0,0.013997046979822467,0.00020114199409347597,0,0,0.013990777375896725
44,31,1,2,10.0,0.019792893276120452,0.00040002753073326095,0,0,0.01978297058832841
45,-37,0,2,10.0,-0.014390918002646715,0.00021834936238372275,0,0,-0.014404419012356501
46,-26,2,2,10.0,-0.03595317051271968,0.0013027264570577598,0,0,-0.035965285697288955
47,9,3,2,10.0,0.010232519843762241,0.00010529728336056794,0,0,0.010231808458553145
48,44,4,2,10.0,0.09504266496940408,0.009052727819880722,0,0,0.09501912138293088
49,66,1,2,10.0,0.04776701238918365,0.0023555452880985946,0,0,0.047678383010571444
